date,year,month,fiscalyear,business_area_code,school,emissions,trips
01-08-2017,2017,8,FY17-18,142,NANJING CENTER,1.157186805,2
01-08-2017,2017,8,FY17-18,160,Bloomberg School of Public Health,10.79285459,61
01-08-2017,2017,8,FY17-18,165,School of Nursing (SON),12.84756346,30
01-08-2017,2017,8,FY17-18,170,School of Medicine (SOM),60.8653733,219
01-08-2017,2017,8,FY17-18,190,JH TECHNOLOGY VENTURES,0.152481068,2
01-08-2017,2017,8,FY17-18,211,HUMAN LANGUAGE TECHNOLOGY COE,2.945568138,4
01-08-2017,2017,8,FY17-18,215,CENTER FOR TALENTED YOUTH,4.504175807,21
01-08-2017,2017,8,FY17-18,235,JHPEIGO,65.64487316,135
01-08-2017,2017,8,FY17-18,251,JHU PRESS BOOK DIVISION,1.101714744,8
01-08-2017,2017,8,FY17-18,400,JH Bayview Medical Center,1.476638367,5
01-08-2017,2017,8,FY17-18,440,JH Community Physicians,2.272593715,2
01-08-2017,2017,8,FY17-18,450,JH HEALTH SYSTEM CORPORATION,23.30438888,55
01-08-2017,2017,8,FY17-18,480,Johns Hopkins Hospital,7.650395391,21
01-08-2017,2017,8,FY17-18,520,Johns Hopkins International,22.97461829,58
01-08-2017,2017,8,FY17-18,530,JHHCG CORP (GROUP),1.457049909,3
01-08-2017,2017,8,FY17-18,535,JHHCG PEDIATRICS AT HOME,0.120735862,1
01-08-2017,2017,8,FY17-18,550,Johns Hopkins HealthCare,0.18370586,2
01-08-2017,2017,8,FY17-18,587,EMRS PROJECT,1.526649161,27
01-08-2017,2017,8,FY17-18,640,Howard County General Hospital,1.172621043,7
01-09-2017,2017,9,FY17-18,0,Unavailable,337.9994895,929
01-09-2017,2017,9,FY17-18,100,INSTITUTION WIDE FUNDS,1.644765919,8
01-09-2017,2017,9,FY17-18,101,University Administration,13.24916056,89
01-09-2017,2017,9,FY17-18,110,Homewood Student Affairs,14.3647186,101
01-09-2017,2017,9,FY17-18,112,U-WIDE STUDENT AFFAIRS,1.581536557,8
01-09-2017,2017,9,FY17-18,115,Krieger School of Arts and Sciences,32.11335573,90
01-09-2017,2017,9,FY17-18,120,Whiting School of Engineering,15.21161816,92
01-09-2017,2017,9,FY17-18,125,School of Education,2.919811359,19
01-09-2017,2017,9,FY17-18,126,Carey Business School,1.720547654,10
01-09-2017,2017,9,FY17-18,135,PEABODY INSTITUTE,7.842630659,71
01-09-2017,2017,9,FY17-18,140,NITZE SCH ADV INT STUDIES-SAIS,27.21625512,93
01-09-2017,2017,9,FY17-18,141,BOLOGNA CENTER,0.292732425,4
01-09-2017,2017,9,FY17-18,142,NANJING CENTER,2.316056404,6
01-09-2017,2017,9,FY17-18,160,Bloomberg School of Public Health,10.78758744,39
01-09-2017,2017,9,FY17-18,165,School of Nursing (SON),12.31680922,31
01-09-2017,2017,9,FY17-18,170,School of Medicine (SOM),123.9250088,409
01-09-2017,2017,9,FY17-18,190,JH TECHNOLOGY VENTURES,0.116999792,2
01-09-2017,2017,9,FY17-18,211,HUMAN LANGUAGE TECHNOLOGY COE,0.741041024,2
01-09-2017,2017,9,FY17-18,212,CGEPI,3.322147064,7
01-09-2017,2017,9,FY17-18,215,CENTER FOR TALENTED YOUTH,7.080491679,24
01-09-2017,2017,9,FY17-18,235,JHPEIGO,55.11823349,104
01-09-2017,2017,9,FY17-18,251,JHU PRESS BOOK DIVISION,1.19616974,10
01-09-2017,2017,9,FY17-18,400,JH Bayview Medical Center,0.33670734,6
01-09-2017,2017,9,FY17-18,440,JH Community Physicians,2.414874494,4
01-09-2017,2017,9,FY17-18,450,JH HEALTH SYSTEM CORPORATION,20.68542938,65
01-09-2017,2017,9,FY17-18,480,Johns Hopkins Hospital,4.830835892,18
01-09-2017,2017,9,FY17-18,520,Johns Hopkins International,25.32904158,64
01-09-2017,2017,9,FY17-18,530,JHHCG CORP (GROUP),0.187869165,4
01-09-2017,2017,9,FY17-18,550,Johns Hopkins HealthCare,2.728943861,6
01-09-2017,2017,9,FY17-18,587,EMRS PROJECT,1.281001405,24
01-09-2017,2017,9,FY17-18,640,Howard County General Hospital,0.568811628,4
01-09-2017,2017,9,FY17-18,650,All Children’s Hospital,0.701306875,8
01-09-2017,2017,9,FY17-18,658,PEDIATRIC PHYSICIANS SERVICES,0.350653438,4
01-10-2017,2017,10,FY17-18,0,Unavailable,346.0446923,1315
01-10-2017,2017,10,FY17-18,100,INSTITUTION WIDE FUNDS,0.644791955,4
01-10-2017,2017,10,FY17-18,101,University Administration,44.56917558,198
01-10-2017,2017,10,FY17-18,110,Homewood Student Affairs,12.60208093,98
01-10-2017,2017,10,FY17-18,112,U-WIDE STUDENT AFFAIRS,0.642849111,5
01-10-2017,2017,10,FY17-18,115,Krieger School of Arts and Sciences,37.56319571,151
01-10-2017,2017,10,FY17-18,120,Whiting School of Engineering,15.05158509,81
01-10-2017,2017,10,FY17-18,125,School of Education,2.813758545,20
01-10-2017,2017,10,FY17-18,126,Carey Business School,2.309739027,13
01-10-2017,2017,10,FY17-18,130,Sheridan Libraries,0.175499688,4
01-10-2017,2017,10,FY17-18,135,PEABODY INSTITUTE,5.160892589,63
01-10-2017,2017,10,FY17-18,140,NITZE SCH ADV INT STUDIES-SAIS,11.18643661,65
01-10-2017,2017,10,FY17-18,141,BOLOGNA CENTER,1.804478025,6
01-10-2017,2017,10,FY17-18,142,NANJING CENTER,6.923606205,34
01-10-2017,2017,10,FY17-18,160,Bloomberg School of Public Health,28.30519378,79
01-10-2017,2017,10,FY17-18,165,School of Nursing (SON),3.816821436,26
01-10-2017,2017,10,FY17-18,170,School of Medicine (SOM),139.9472755,486
01-10-2017,2017,10,FY17-18,190,JH TECHNOLOGY VENTURES,0.790247444,6
01-10-2017,2017,10,FY17-18,210,BIOETHICS INSTITUTE,0.327683624,2
01-10-2017,2017,10,FY17-18,212,CGEPI,4.421324419,15
01-10-2017,2017,10,FY17-18,215,CENTER FOR TALENTED YOUTH,10.44921613,32
01-10-2017,2017,10,FY17-18,235,JHPEIGO,65.49066039,142
01-10-2017,2017,10,FY17-18,251,JHU PRESS BOOK DIVISION,0.048008118,1
01-10-2017,2017,10,FY17-18,255,JHU PRESS MUSE,0.253701435,2
01-10-2017,2017,10,FY17-18,430,JHBMC GRANT COMPANY,0.384064942,8
01-10-2017,2017,10,FY17-18,440,JH Community Physicians,0.548255306,4
01-10-2017,2017,10,FY17-18,450,JH HEALTH SYSTEM CORPORATION,23.21747119,66
01-10-2017,2017,10,FY17-18,480,Johns Hopkins Hospital,1.414918318,8
01-10-2017,2017,10,FY17-18,520,Johns Hopkins International,24.24993449,65
01-10-2017,2017,10,FY17-18,540,JHHCG PHARMAQUIP,0.096016235,2
01-10-2017,2017,10,FY17-18,550,Johns Hopkins HealthCare,0.53264291,4
01-10-2017,2017,10,FY17-18,555,JOHNS HOPKINS IMAGING LLC,0.54721448,2
01-10-2017,2017,10,FY17-18,587,EMRS PROJECT,0.308513945,6
01-10-2017,2017,10,FY17-18,640,Howard County General Hospital,0.667610093,3
01-11-2017,2017,11,FY17-18,0,Unavailable,311.9869201,993
01-11-2017,2017,11,FY17-18,100,INSTITUTION WIDE FUNDS,0.678423048,5
01-11-2017,2017,11,FY17-18,101,University Administration,46.94208093,174
01-11-2017,2017,11,FY17-18,110,Homewood Student Affairs,5.410967724,45
01-11-2017,2017,11,FY17-18,115,Krieger School of Arts and Sciences,22.03108657,119
01-11-2017,2017,11,FY17-18,120,Whiting School of Engineering,14.13851376,55
01-11-2017,2017,11,FY17-18,125,School of Education,1.561910186,21
01-11-2017,2017,11,FY17-18,126,Carey Business School,0.087749844,2
01-11-2017,2017,11,FY17-18,130,Sheridan Libraries,0.530561257,8
01-11-2017,2017,11,FY17-18,135,PEABODY INSTITUTE,4.618572751,30
01-11-2017,2017,11,FY17-18,140,NITZE SCH ADV INT STUDIES-SAIS,32.82005301,87
01-11-2017,2017,11,FY17-18,141,BOLOGNA CENTER,6.135259338,21
01-11-2017,2017,11,FY17-18,142,NANJING CENTER,2.702375644,24
01-11-2017,2017,11,FY17-18,160,Bloomberg School of Public Health,31.2323769,96
01-11-2017,2017,11,FY17-18,165,School of Nursing (SON),2.819097815,26
01-11-2017,2017,11,FY17-18,170,School of Medicine (SOM),83.69447982,312
01-11-2017,2017,11,FY17-18,210,BIOETHICS INSTITUTE,0.349067154,2
01-11-2017,2017,11,FY17-18,211,HUMAN LANGUAGE TECHNOLOGY COE,1.465744037,2
01-11-2017,2017,11,FY17-18,215,CENTER FOR TALENTED YOUTH,7.088261988,24
01-11-2017,2017,11,FY17-18,235,JHPEIGO,43.61805065,91
01-11-2017,2017,11,FY17-18,251,JHU PRESS BOOK DIVISION,0.839816802,9
01-11-2017,2017,11,FY17-18,255,JHU PRESS MUSE,0.219093957,4
01-11-2017,2017,11,FY17-18,400,JH Bayview Medical Center,2.414874494,4
01-11-2017,2017,11,FY17-18,450,JH HEALTH SYSTEM CORPORATION,30.87854467,77
01-11-2017,2017,11,FY17-18,462,JHMMC INTRASTAFF DIVISION,0.747573562,5
01-11-2017,2017,11,FY17-18,480,Johns Hopkins Hospital,7.393637821,40
01-11-2017,2017,11,FY17-18,520,Johns Hopkins International,23.12198148,38
01-11-2017,2017,11,FY17-18,550,Johns Hopkins HealthCare,8.826936269,20
01-11-2017,2017,11,FY17-18,587,EMRS PROJECT,0.102057362,2
01-11-2017,2017,11,FY17-18,640,Howard County General Hospital,0.309906061,2
01-12-2017,2017,12,FY17-18,0,Unavailable,284.4694871,982
01-12-2017,2017,12,FY17-18,101,University Administration,8.02858224,45
01-12-2017,2017,12,FY17-18,110,Homewood Student Affairs,1.487983467,16
01-12-2017,2017,12,FY17-18,115,Krieger School of Arts and Sciences,10.61180417,41
01-12-2017,2017,12,FY17-18,120,Whiting School of Engineering,22.02617863,63
01-12-2017,2017,12,FY17-18,125,School of Education,1.059090922,7
01-12-2017,2017,12,FY17-18,126,Carey Business School,2.096301229,9
01-12-2017,2017,12,FY17-18,130,Sheridan Libraries,0.125266183,4
01-12-2017,2017,12,FY17-18,135,PEABODY INSTITUTE,0.227929131,3
01-12-2017,2017,12,FY17-18,140,NITZE SCH ADV INT STUDIES-SAIS,10.24824747,37
01-12-2017,2017,12,FY17-18,141,BOLOGNA CENTER,2.613014484,7
01-12-2017,2017,12,FY17-18,160,Bloomberg School of Public Health,14.98065898,45
01-12-2017,2017,12,FY17-18,165,School of Nursing (SON),3.479135525,13
01-12-2017,2017,12,FY17-18,170,School of Medicine (SOM),57.27392031,181
01-12-2017,2017,12,FY17-18,211,HUMAN LANGUAGE TECHNOLOGY COE,1.876350052,6
01-12-2017,2017,12,FY17-18,212,CGEPI,1.192848669,2
01-12-2017,2017,12,FY17-18,215,CENTER FOR TALENTED YOUTH,5.449199372,16
01-12-2017,2017,12,FY17-18,235,JHPEIGO,63.53424159,118
01-12-2017,2017,12,FY17-18,251,JHU PRESS BOOK DIVISION,0.436608914,4
01-12-2017,2017,12,FY17-18,255,JHU PRESS MUSE,0.339309406,4
01-12-2017,2017,12,FY17-18,400,JH Bayview Medical Center,5.92795383,9
01-12-2017,2017,12,FY17-18,440,JH Community Physicians,2.415725741,4
01-12-2017,2017,12,FY17-18,450,JH HEALTH SYSTEM CORPORATION,24.4939725,71
01-12-2017,2017,12,FY17-18,462,JHMMC INTRASTAFF DIVISION,0.115271524,1
01-12-2017,2017,12,FY17-18,480,Johns Hopkins Hospital,7.434315956,14
01-12-2017,2017,12,FY17-18,520,Johns Hopkins International,26.0799577,52
01-12-2017,2017,12,FY17-18,550,Johns Hopkins HealthCare,1.648227228,8
01-12-2017,2017,12,FY17-18,587,EMRS PROJECT,0.373656678,8
01-01-2018,2018,1,FY17-18,0,Unavailable,1059.401678,2673
01-01-2018,2018,1,FY17-18,101,University Administration,34.39887436,144
01-01-2018,2018,1,FY17-18,110,Homewood Student Affairs,2.819848386,29
01-01-2018,2018,1,FY17-18,115,Krieger School of Arts and Sciences,20.71182413,61
01-01-2018,2018,1,FY17-18,120,Whiting School of Engineering,13.48950437,42
01-01-2018,2018,1,FY17-18,125,School of Education,0.205303007,2
01-01-2018,2018,1,FY17-18,126,Carey Business School,9.844290882,16
01-01-2018,2018,1,FY17-18,130,Sheridan Libraries,0.340480336,2
01-01-2018,2018,1,FY17-18,135,PEABODY INSTITUTE,8.092092056,33
01-01-2018,2018,1,FY17-18,140,NITZE SCH ADV INT STUDIES-SAIS,24.14541728,45
01-01-2018,2018,1,FY17-18,141,BOLOGNA CENTER,4.610290251,14
01-01-2018,2018,1,FY17-18,160,Bloomberg School of Public Health,14.56463301,40
01-01-2018,2018,1,FY17-18,165,School of Nursing (SON),1.324972007,7
01-01-2018,2018,1,FY17-18,170,School of Medicine (SOM),42.71118603,172
01-01-2018,2018,1,FY17-18,212,CGEPI,0.149879002,2
01-01-2018,2018,1,FY17-18,215,CENTER FOR TALENTED YOUTH,6.343943666,25
01-01-2018,2018,1,FY17-18,235,JHPEIGO,35.24946782,82
01-01-2018,2018,1,FY17-18,450,JH HEALTH SYSTEM CORPORATION,7.600659634,35
01-01-2018,2018,1,FY17-18,480,Johns Hopkins Hospital,4.389594428,15
01-01-2018,2018,1,FY17-18,520,Johns Hopkins International,4.737115439,6
01-01-2018,2018,1,FY17-18,530,JHHCG CORP (GROUP),1.161120472,1
01-01-2018,2018,1,FY17-18,550,Johns Hopkins HealthCare,0.462387128,6
01-01-2018,2018,1,FY17-18,587,EMRS PROJECT,0.820804366,14
01-02-2018,2018,2,FY17-18,0,Unavailable,212.4163901,820
01-02-2018,2018,2,FY17-18,101,University Administration,16.21472767,91
01-02-2018,2018,2,FY17-18,110,Homewood Student Affairs,2.225663002,21
01-02-2018,2018,2,FY17-18,115,Krieger School of Arts and Sciences,6.316720266,36
01-02-2018,2018,2,FY17-18,120,Whiting School of Engineering,10.29889379,39
01-02-2018,2018,2,FY17-18,125,School of Education,2.755365967,16
01-02-2018,2018,2,FY17-18,126,Carey Business School,2.459512758,11
01-02-2018,2018,2,FY17-18,130,Sheridan Libraries,0.422454121,2
01-02-2018,2018,2,FY17-18,135,PEABODY INSTITUTE,6.676722703,15
01-02-2018,2018,2,FY17-18,140,NITZE SCH ADV INT STUDIES-SAIS,9.159190825,33
01-02-2018,2018,2,FY17-18,141,BOLOGNA CENTER,2.15542888,12
01-02-2018,2018,2,FY17-18,160,Bloomberg School of Public Health,7.801786513,39
01-02-2018,2018,2,FY17-18,165,School of Nursing (SON),1.914377446,3
01-02-2018,2018,2,FY17-18,170,School of Medicine (SOM),50.89222335,224
01-02-2018,2018,2,FY17-18,190,JH TECHNOLOGY VENTURES,0.539408282,2
01-02-2018,2018,2,FY17-18,212,CGEPI,0.409174879,4
01-02-2018,2018,2,FY17-18,215,CENTER FOR TALENTED YOUTH,5.038139073,20
01-02-2018,2018,2,FY17-18,235,JHPEIGO,110.0510096,239
01-02-2018,2018,2,FY17-18,251,JHU PRESS BOOK DIVISION,0.457963616,5
01-02-2018,2018,2,FY17-18,450,JH HEALTH SYSTEM CORPORATION,8.276011448,34
01-02-2018,2018,2,FY17-18,480,Johns Hopkins Hospital,3.804638128,12
01-02-2018,2018,2,FY17-18,520,Johns Hopkins International,2.322240945,2
01-02-2018,2018,2,FY17-18,530,JHHCG CORP (GROUP),1.161120472,1
01-02-2018,2018,2,FY17-18,550,Johns Hopkins HealthCare,0.257084121,4
01-02-2018,2018,2,FY17-18,587,EMRS PROJECT,0.616368432,10
01-03-2018,2018,3,FY17-18,0,Unavailable,591.5461909,1780
01-03-2018,2018,3,FY17-18,101,University Administration,17.24981441,76
01-03-2018,2018,3,FY17-18,110,Homewood Student Affairs,9.208122553,76
01-03-2018,2018,3,FY17-18,112,U-WIDE STUDENT AFFAIRS,0.134006399,2
01-03-2018,2018,3,FY17-18,115,Krieger School of Arts and Sciences,27.35691986,106
01-03-2018,2018,3,FY17-18,120,Whiting School of Engineering,15.26343919,69
01-03-2018,2018,3,FY17-18,125,School of Education,11.37142104,33
01-03-2018,2018,3,FY17-18,126,Carey Business School,20.99266174,32
01-03-2018,2018,3,FY17-18,130,Sheridan Libraries,0.722698337,3
01-03-2018,2018,3,FY17-18,135,PEABODY INSTITUTE,1.220646808,10
01-03-2018,2018,3,FY17-18,140,NITZE SCH ADV INT STUDIES-SAIS,48.81685143,110
01-03-2018,2018,3,FY17-18,160,Bloomberg School of Public Health,8.858489992,48
01-03-2018,2018,3,FY17-18,165,School of Nursing (SON),5.995119513,27
01-03-2018,2018,3,FY17-18,170,School of Medicine (SOM),63.68066651,266
01-03-2018,2018,3,FY17-18,210,BIOETHICS INSTITUTE,1.300040228,3
01-03-2018,2018,3,FY17-18,215,CENTER FOR TALENTED YOUTH,20.61172026,67
01-03-2018,2018,3,FY17-18,235,JHPEIGO,127.5358519,224
01-03-2018,2018,3,FY17-18,251,JHU PRESS BOOK DIVISION,0.355962629,4
01-03-2018,2018,3,FY17-18,255,JHU PRESS MUSE,0.684210679,5
01-03-2018,2018,3,FY17-18,400,JH Bayview Medical Center,0.439228741,4
01-03-2018,2018,3,FY17-18,450,JH HEALTH SYSTEM CORPORATION,5.773158496,37
01-03-2018,2018,3,FY17-18,480,Johns Hopkins Hospital,5.334548662,14
01-03-2018,2018,3,FY17-18,520,Johns Hopkins International,3.51771993,4
01-03-2018,2018,3,FY17-18,550,Johns Hopkins HealthCare,2.094317539,9
01-04-2018,2018,4,FY17-18,0,Unavailable,315.6002484,1375
01-04-2018,2018,4,FY17-18,101,University Administration,14.60326782,71
01-04-2018,2018,4,FY17-18,110,Homewood Student Affairs,9.140637043,61
01-04-2018,2018,4,FY17-18,112,U-WIDE STUDENT AFFAIRS,0.053082146,1
01-04-2018,2018,4,FY17-18,115,Krieger School of Arts and Sciences,19.90405935,88
01-04-2018,2018,4,FY17-18,120,Whiting School of Engineering,7.272932959,55
01-04-2018,2018,4,FY17-18,125,School of Education,1.689925881,10
01-04-2018,2018,4,FY17-18,126,Carey Business School,0.138310468,3
01-04-2018,2018,4,FY17-18,130,Sheridan Libraries,0.806849678,2
01-04-2018,2018,4,FY17-18,135,PEABODY INSTITUTE,0.657825267,6
01-04-2018,2018,4,FY17-18,140,NITZE SCH ADV INT STUDIES-SAIS,22.2893703,88
01-04-2018,2018,4,FY17-18,141,BOLOGNA CENTER,4.942614067,12
01-04-2018,2018,4,FY17-18,142,NANJING CENTER,2.426115609,4
01-04-2018,2018,4,FY17-18,160,Bloomberg School of Public Health,39.99106983,91
01-04-2018,2018,4,FY17-18,165,School of Nursing (SON),7.722056897,20
01-04-2018,2018,4,FY17-18,170,School of Medicine (SOM),154.1794999,504
01-04-2018,2018,4,FY17-18,210,BIOETHICS INSTITUTE,1.491922795,4
01-04-2018,2018,4,FY17-18,211,HUMAN LANGUAGE TECHNOLOGY COE,1.092347307,8
01-04-2018,2018,4,FY17-18,212,CGEPI,1.414222871,10
01-04-2018,2018,4,FY17-18,215,CENTER FOR TALENTED YOUTH,3.151781423,20
01-04-2018,2018,4,FY17-18,235,JHPEIGO,86.47025022,200
01-04-2018,2018,4,FY17-18,251,JHU PRESS BOOK DIVISION,0.087429418,2
01-04-2018,2018,4,FY17-18,255,JHU PRESS MUSE,0.134006399,2
01-04-2018,2018,4,FY17-18,400,JH Bayview Medical Center,0.280242508,3
01-04-2018,2018,4,FY17-18,440,JH Community Physicians,0.519372374,2
01-04-2018,2018,4,FY17-18,450,JH HEALTH SYSTEM CORPORATION,35.69755571,113
01-04-2018,2018,4,FY17-18,480,Johns Hopkins Hospital,17.40785479,39
01-04-2018,2018,4,FY17-18,520,Johns Hopkins International,20.91286856,66
01-04-2018,2018,4,FY17-18,530,JHHCG CORP (GROUP),0.519372374,2
01-04-2018,2018,4,FY17-18,540,JHHCG PHARMAQUIP,1.038744747,4
01-04-2018,2018,4,FY17-18,550,Johns Hopkins HealthCare,2.751198643,15
01-04-2018,2018,4,FY17-18,587,EMRS PROJECT,1.250370755,22
01-04-2018,2018,4,FY17-18,640,Howard County General Hospital,0.081704872,2
01-05-2018,2018,5,FY17-18,0,Unavailable,251.7582388,1066
01-05-2018,2018,5,FY17-18,101,University Administration,21.67288822,100
01-05-2018,2018,5,FY17-18,110,Homewood Student Affairs,9.204963662,57
01-05-2018,2018,5,FY17-18,115,Krieger School of Arts and Sciences,32.09955002,106
01-05-2018,2018,5,FY17-18,120,Whiting School of Engineering,10.68943946,41
01-05-2018,2018,5,FY17-18,125,School of Education,2.765054232,21
01-05-2018,2018,5,FY17-18,126,Carey Business School,1.429780521,4
01-05-2018,2018,5,FY17-18,135,PEABODY INSTITUTE,3.370983336,14
01-05-2018,2018,5,FY17-18,140,NITZE SCH ADV INT STUDIES-SAIS,38.76185691,87
01-05-2018,2018,5,FY17-18,141,BOLOGNA CENTER,3.929592226,8
01-05-2018,2018,5,FY17-18,160,Bloomberg School of Public Health,21.08750124,60
01-05-2018,2018,5,FY17-18,165,School of Nursing (SON),10.01090096,19
01-05-2018,2018,5,FY17-18,170,School of Medicine (SOM),121.7737849,429
01-05-2018,2018,5,FY17-18,212,CGEPI,0.753285716,4
01-05-2018,2018,5,FY17-18,215,CENTER FOR TALENTED YOUTH,9.619197674,22
01-05-2018,2018,5,FY17-18,235,JHPEIGO,108.724476,223
01-05-2018,2018,5,FY17-18,251,JHU PRESS BOOK DIVISION,0.345803626,8
01-05-2018,2018,5,FY17-18,255,JHU PRESS MUSE,0.492310887,5
01-05-2018,2018,5,FY17-18,400,JH Bayview Medical Center,2.414874494,4
01-05-2018,2018,5,FY17-18,440,JH Community Physicians,0.806849678,2
01-05-2018,2018,5,FY17-18,450,JH HEALTH SYSTEM CORPORATION,28.37648014,76
01-05-2018,2018,5,FY17-18,480,Johns Hopkins Hospital,20.14956271,47
01-05-2018,2018,5,FY17-18,520,Johns Hopkins International,18.32519717,48
01-05-2018,2018,5,FY17-18,530,JHHCG CORP (GROUP),1.329808499,2
01-05-2018,2018,5,FY17-18,545,JHHCG HOME HEALTH SERVICES,1.329808499,2
01-05-2018,2018,5,FY17-18,550,Johns Hopkins HealthCare,8.531725905,24
01-05-2018,2018,5,FY17-18,555,JOHNS HOPKINS IMAGING LLC,0.373656678,8
01-05-2018,2018,5,FY17-18,587,EMRS PROJECT,1.430932468,19
01-06-2018,2018,6,FY17-18,0,Unavailable,503.5205278,1614
01-06-2018,2018,6,FY17-18,100,INSTITUTION WIDE FUNDS,0.387187421,2
01-06-2018,2018,6,FY17-18,101,University Administration,27.96668995,110
01-06-2018,2018,6,FY17-18,110,Homewood Student Affairs,7.835348653,64
01-06-2018,2018,6,FY17-18,112,U-WIDE STUDENT AFFAIRS,0.929197769,10
01-06-2018,2018,6,FY17-18,115,Krieger School of Arts and Sciences,36.32785468,115
01-06-2018,2018,6,FY17-18,120,Whiting School of Engineering,19.09494688,70
01-06-2018,2018,6,FY17-18,125,School of Education,5.002049755,47
01-06-2018,2018,6,FY17-18,126,Carey Business School,1.665868954,6
01-06-2018,2018,6,FY17-18,130,Sheridan Libraries,0.519892787,4
01-06-2018,2018,6,FY17-18,135,PEABODY INSTITUTE,0.847917801,6
01-06-2018,2018,6,FY17-18,140,NITZE SCH ADV INT STUDIES-SAIS,36.251941,107
01-06-2018,2018,6,FY17-18,142,NANJING CENTER,5.599303803,13
01-06-2018,2018,6,FY17-18,160,Bloomberg School of Public Health,26.24162003,85
01-06-2018,2018,6,FY17-18,165,School of Nursing (SON),11.38933817,33
01-06-2018,2018,6,FY17-18,170,School of Medicine (SOM),86.80743399,298
01-06-2018,2018,6,FY17-18,190,JH TECHNOLOGY VENTURES,0.213433884,4
01-06-2018,2018,6,FY17-18,211,HUMAN LANGUAGE TECHNOLOGY COE,1.510477506,6
01-06-2018,2018,6,FY17-18,212,CGEPI,0.158465819,2
01-06-2018,2018,6,FY17-18,215,CENTER FOR TALENTED YOUTH,10.45189326,31
01-06-2018,2018,6,FY17-18,235,JHPEIGO,71.29739028,153
01-06-2018,2018,6,FY17-18,251,JHU PRESS BOOK DIVISION,3.31481329,19
01-06-2018,2018,6,FY17-18,255,JHU PRESS MUSE,0.882465903,3
01-06-2018,2018,6,FY17-18,400,JH Bayview Medical Center,0.468892293,4
01-06-2018,2018,6,FY17-18,440,JH Community Physicians,2.189266537,6
01-06-2018,2018,6,FY17-18,450,JH HEALTH SYSTEM CORPORATION,24.10203944,83
01-06-2018,2018,6,FY17-18,480,Johns Hopkins Hospital,10.00975283,23
01-06-2018,2018,6,FY17-18,520,Johns Hopkins International,11.55413109,27
01-06-2018,2018,6,FY17-18,530,JHHCG CORP (GROUP),1.329808499,2
01-06-2018,2018,6,FY17-18,545,JHHCG HOME HEALTH SERVICES,1.329808499,2
01-06-2018,2018,6,FY17-18,550,Johns Hopkins HealthCare,1.54380711,8
