fiscalyear,school,from_full,to_full,trips,emissions
FY17-18,0,"Atlanta, GEORGIA, US","Mexico City, MX",3,0.520283097
FY17-18,0,"Atlanta, GEORGIA, US","Miami, FLORIDA, US",1,0.077541567
FY17-18,0,"Atlanta, GEORGIA, US","Minneapolis/St Paul, MINNESOTA, US",4,0.472014772
FY17-18,0,"Atlanta, GEORGIA, US","Mobile, ALABAMA, US",3,0.11787359
FY17-18,0,"Atlanta, GEORGIA, US","Monroe, LOUISIANA, US",1,0.058156175
FY17-18,0,"Atlanta, GEORGIA, US","Montgomery, ALABAMA, US",2,0.061007034
FY17-18,0,"Atlanta, GEORGIA, US","New Orleans, LOUISIANA, US",1,0.055293903
FY17-18,0,"Atlanta, GEORGIA, US","New York, NEW YORK, US",1,0.099008611
FY17-18,0,"Atlanta, GEORGIA, US","Newark, NEW JERSEY, US",12,1.164684742
FY17-18,0,"Atlanta, GEORGIA, US","Oakland, CALIFORNIA, US",1,0.276729719
FY17-18,0,"Atlanta, GEORGIA, US","Oklahoma City, OKLAHOMA, US",4,0.394993619
FY17-18,0,"Atlanta, GEORGIA, US","Omaha, NEBRASKA, US",5,0.534074047
FY17-18,0,"Atlanta, GEORGIA, US","Orlando, FLORIDA, US",8,0.420493866
FY17-18,0,"Atlanta, GEORGIA, US","Panama City, PA",2,0.449897211
FY17-18,0,"Atlanta, GEORGIA, US","Paris, FR",8,5.770915059
FY17-18,0,"Atlanta, GEORGIA, US","Pensacola, FLORIDA, US",3,0.170485411
FY17-18,0,"Atlanta, GEORGIA, US","Philadelphia, PENNSYLVANIA, US",4,0.346595191
FY17-18,0,"Atlanta, GEORGIA, US","Port au Prince, HT",4,0.667690136
FY17-18,0,"Atlanta, GEORGIA, US","Portland, OREGON, US",1,0.282324161
FY17-18,0,"Atlanta, GEORGIA, US","Raleigh/Durham, NORTH CAROLINA, US",2,0.092373343
FY17-18,0,"Atlanta, GEORGIA, US","Rio de Janeiro, BR",2,1.562736969
FY17-18,0,"Atlanta, GEORGIA, US","Salt Lake City, UTAH, US",5,1.033020202
FY17-18,0,"Atlanta, GEORGIA, US","San Antonio, TEXAS, US",4,0.454320724
FY17-18,0,"Atlanta, GEORGIA, US","San Diego, CALIFORNIA, US",7,1.720355936
FY17-18,0,"Atlanta, GEORGIA, US","San Francisco, CALIFORNIA, US",2,0.556061504
FY17-18,0,"Atlanta, GEORGIA, US","San Jose, CALIFORNIA, US",1,0.274908273
FY17-18,0,"Atlanta, GEORGIA, US","San Jose, CR",3,0.638156687
FY17-18,0,"Atlanta, GEORGIA, US","San Juan, PR",5,1.007650059
FY17-18,0,"Atlanta, GEORGIA, US","Santa Ana, CALIFORNIA, US",1,0.249277923
FY17-18,0,"Atlanta, GEORGIA, US","Santiago, CL",1,0.775943456
FY17-18,0,"Atlanta, GEORGIA, US","Sarasota/Bradenton, FLORIDA, US",1,0.057895969
FY17-18,0,"Atlanta, GEORGIA, US","Savannah, GEORGIA, US",2,0.08942127
FY17-18,0,"Atlanta, GEORGIA, US","Seattle, WASHINGTON, US",1,0.283625194
FY17-18,0,"Atlanta, GEORGIA, US","Seoul, KR",13,15.269811
FY17-18,0,"Atlanta, GEORGIA, US","Shreveport, LOUISIANA, US",1,0.071686918
FY17-18,0,"Atlanta, GEORGIA, US","St Thomas Island, VI",4,0.833181533
FY17-18,0,"Atlanta, GEORGIA, US","Tallahassee, FLORIDA, US",23,1.076398086
FY17-18,0,"Atlanta, GEORGIA, US","Tampa, FLORIDA, US",6,0.317712259
FY17-18,0,"Atlanta, GEORGIA, US","Tokyo, JP",2,2.249907233
FY17-18,0,"Atlanta, GEORGIA, US","Tucson, ARIZONA, US",2,0.400457957
FY17-18,0,"Atlanta, GEORGIA, US","Tulsa, OKLAHOMA, US",4,0.350238084
FY17-18,0,"Atlanta, GEORGIA, US","Washington, DISTRICT OF COLUMBIA, US",80,5.635814749
FY17-18,0,"Atlanta, GEORGIA, US","West Palm Beach, FLORIDA, US",7,0.497254813
FY17-18,0,"Atlanta, GEORGIA, US","Wichita, KANSAS, US",1,0.101610677
FY17-18,0,"Atlanta, GEORGIA, US","Wilmington, NORTH CAROLINA, US",2,0.097837682
FY17-18,0,"Augusta, GEORGIA, US","Atlanta, GEORGIA, US",2,0.059753465
FY17-18,0,"Austin, TEXAS, US","Amsterdam, NL",3,2.506856305
FY17-18,0,"Austin, TEXAS, US","Atlanta, GEORGIA, US",2,0.211287759
FY17-18,0,"Austin, TEXAS, US","Baltimore, MARYLAND, US",1,0.174468525
FY17-18,0,"Austin, TEXAS, US","Chicago, ILLINOIS, US",2,0.254742261
FY17-18,0,"Austin, TEXAS, US","Dallas, TEXAS, US",3,0.119089074
FY17-18,0,"Austin, TEXAS, US","Houston, TEXAS, US",5,0.14624974
FY17-18,0,"Austin, TEXAS, US","New York, NEW YORK, US",5,0.989435597
FY17-18,0,"Austin, TEXAS, US","Philadelphia, PENNSYLVANIA, US",2,0.372095438
FY17-18,0,"Austin, TEXAS, US","Washington, DISTRICT OF COLUMBIA, US",3,0.50584163
FY17-18,0,"Avila de los Caballeros, ES", ,5,0
FY17-18,0,"Bahia Blanca, AR","Buenos Aires, AR",1,0.043714709
FY17-18,0,"Bahrain, BH","Amsterdam, NL",1,0.488252556
FY17-18,0,"Bahrain, BH","Dubai, AE",1,0.039291197
FY17-18,0,"Bahrain, BH","Frankfurt, DE",1,0.453894043
FY17-18,0,"Baltimore, MARYLAND, US","Albany, NEW YORK, US",3,0.180513965
FY17-18,0,"Baltimore, MARYLAND, US","Albuquerque, NEW MEXICO, US",1,0.217012304
FY17-18,0,"Baltimore, MARYLAND, US","Atlanta, GEORGIA, US",427,31.99916684
FY17-18,0,"Baltimore, MARYLAND, US","Austin, TEXAS, US",1,0.174468525
FY17-18,0,"Baltimore, MARYLAND, US","Boston, MASSACHUSETTS, US",173,8.305404362
FY17-18,0,"Baltimore, MARYLAND, US","Buffalo, NEW YORK, US",1,0.058708824
FY17-18,0,"Baltimore, MARYLAND, US","Charleston, SOUTH CAROLINA, US",7,0.430772026
FY17-18,0,"Baltimore, MARYLAND, US","Charlotte, NORTH CAROLINA, US",100,4.69672913
FY17-18,0,"Baltimore, MARYLAND, US","Chicago, ILLINOIS, US",203,16.34045407
FY17-18,0,"Baltimore, MARYLAND, US","Cincinnati, OHIO, US",22,1.227914945
FY17-18,0,"Baltimore, MARYLAND, US","Cleveland, OHIO, US",4,0.163409745
FY17-18,0,"Baltimore, MARYLAND, US","Columbus, OHIO, US",1,0.043714709
FY17-18,0,"Baltimore, MARYLAND, US","Dallas, TEXAS, US",66,10.42257536
FY17-18,0,"Baltimore, MARYLAND, US","Denver, COLORADO, US",76,14.71312199
FY17-18,0,"Baltimore, MARYLAND, US","Detroit, MICHIGAN, US",262,13.90752236
FY17-18,0,"Baltimore, MARYLAND, US","Fort Lauderdale, FLORIDA, US",16,1.931773798
FY17-18,0,"Baltimore, MARYLAND, US","Fort Myers, FLORIDA, US",2,0.239910485
FY17-18,0,"Baltimore, MARYLAND, US","Frankfurt, DE",4,2.651359334
FY17-18,0,"Baltimore, MARYLAND, US","Grand Rapids, MICHIGAN, US",2,0.137128878
FY17-18,0,"Baltimore, MARYLAND, US","Hartford, CONNECTICUT, US",1,0.059126681
FY17-18,0,"Baltimore, MARYLAND, US","Houston, TEXAS, US",31,4.995316204
FY17-18,0,"Baltimore, MARYLAND, US","Indianapolis, INDIANA, US",8,0.536025596
FY17-18,0,"Baltimore, MARYLAND, US","Jacksonville, FLORIDA, US",2,0.172777182
FY17-18,0,"Baltimore, MARYLAND, US","Kansas City, MISSOURI, US",2,0.251099369
FY17-18,0,"Baltimore, MARYLAND, US","Las Vegas, NEVADA, US",10,2.736072399
FY17-18,0,"Baltimore, MARYLAND, US","London, GB",44,26.24267071
FY17-18,0,"Baltimore, MARYLAND, US","Los Angeles, CALIFORNIA, US",39,14.82716311
FY17-18,0,"Baltimore, MARYLAND, US","Louisville, KENTUCKY, US",2,0.12854206
FY17-18,0,"Baltimore, MARYLAND, US","Memphis, TENNESSEE, US",1,0.102261194
FY17-18,0,"Baltimore, MARYLAND, US","Miami, FLORIDA, US",103,12.71720727
FY17-18,0,"Baltimore, MARYLAND, US","Milwaukee, WISCONSIN, US",5,0.41633056
FY17-18,0,"Baltimore, MARYLAND, US","Minneapolis/St Paul, MINNESOTA, US",64,7.785381472
FY17-18,0,"Baltimore, MARYLAND, US","Morgantown, WEST VIRGINIA, US",4,0.147085453
FY17-18,0,"Baltimore, MARYLAND, US","Nashville, TENNESSEE, US",3,0.228721601
FY17-18,0,"Baltimore, MARYLAND, US","New Orleans, LOUISIANA, US",4,0.519892787
FY17-18,0,"Baltimore, MARYLAND, US","New York, NEW YORK, US",66,2.5234348
FY17-18,0,"Baltimore, MARYLAND, US","Newark, NEW JERSEY, US",84,2.965944727
FY17-18,0,"Baltimore, MARYLAND, US","Oakland, CALIFORNIA, US",7,2.811315475
FY17-18,0,"Baltimore, MARYLAND, US","Orlando, FLORIDA, US",14,1.437121052
FY17-18,0,"Baltimore, MARYLAND, US","Philadelphia, PENNSYLVANIA, US",28,0.526499064
FY17-18,0,"Baltimore, MARYLAND, US","Phoenix, ARIZONA, US",47,12.20525078
FY17-18,0,"Baltimore, MARYLAND, US","Pittsburgh, PENNSYLVANIA, US",1,0.043874922
FY17-18,0,"Baltimore, MARYLAND, US","Portland, MAINE, US",1,0.058676588
FY17-18,0,"Baltimore, MARYLAND, US","Providence, RHODE ISLAND, US",1,0.042543779
FY17-18,0,"Baltimore, MARYLAND, US","Raleigh/Durham, NORTH CAROLINA, US",21,1.118810511
FY17-18,0,"Baltimore, MARYLAND, US","Rochester, NEW YORK, US",2,0.115746223
FY17-18,0,"Baltimore, MARYLAND, US","Salt Lake City, UTAH, US",30,7.267570338
FY17-18,0,"Baltimore, MARYLAND, US","San Antonio, TEXAS, US",4,0.732221372
FY17-18,0,"Baltimore, MARYLAND, US","San Diego, CALIFORNIA, US",12,3.578361163
FY17-18,0,"Baltimore, MARYLAND, US","San Francisco, CALIFORNIA, US",122,49.21783038
FY17-18,0,"Baltimore, MARYLAND, US","San Jose, CALIFORNIA, US",2,0.800602676
FY17-18,0,"Baltimore, MARYLAND, US","Seattle, WASHINGTON, US",34,13.02894548
FY17-18,0,"Baltimore, MARYLAND, US","St Louis, MISSOURI, US",6,0.574536173
FY17-18,0,"Baltimore, MARYLAND, US","Tampa, FLORIDA, US",11,1.207879037
FY17-18,0,"Baltimore, MARYLAND, US","Toronto, CA",64,2.889334086
FY17-18,0,"Baltimore, MARYLAND, US","West Palm Beach, FLORIDA, US",10,1.152715238
FY17-18,0,"Bangkok, TH","Amsterdam, NL",2,1.882978039
FY17-18,0,"Bangkok, TH","Brussels, BE",1,0.947078443
FY17-18,0,"Bangkok, TH","Delhi, IN",2,0.476958698
FY17-18,0,"Bangkok, TH","Dubai, AE",6,3.00842484
FY17-18,0,"Bangkok, TH","Hanoi, VN",4,0.321615358
FY17-18,0,"Bangkok, TH","Hong Kong, HK",9,1.229476185
FY17-18,0,"Bangkok, TH","Hyderabad, IN",4,0.783742279
FY17-18,0,"Bangkok, TH","Karachi, PK",3,1.143201439
FY17-18,0,"Bangkok, TH","Kathmandu, NP",1,0.180323174
FY17-18,0,"Bangkok, TH","Mumbai, IN",6,1.471468323
FY17-18,0,"Bangkok, TH","Nairobi, KE",1,0.738625836
FY17-18,0,"Bangkok, TH","Phnom Penh, KH",2,0.081444666
FY17-18,0,"Bangkok, TH","Seoul, KR",6,1.780593764
FY17-18,0,"Bangkok, TH","Sydney, AU",2,1.53676259
FY17-18,0,"Bangkok, TH","Tokyo, JP",3,1.4257961
FY17-18,0,"Bangor, MAINE, US","Newark, NEW JERSEY, US",6,0.306783581
FY17-18,0,"Bangor, MAINE, US","Philadelphia, PENNSYLVANIA, US",1,0.061538861
FY17-18,0,"Barbados, BB","Georgetown, GY",2,0.115271524
FY17-18,0,"Barbados, BB","Miami, FLORIDA, US",4,0.838906078
FY17-18,0,"Barcelona, ES","Lisbon, PT",1,0.080403839
FY17-18,0,"Barcelona, ES","Moscow, RU",3,0.732221372
FY17-18,0,"Barcelona, ES","Washington, DISTRICT OF COLUMBIA, US",1,0.666292124
FY17-18,0,"Barrow, ALASKA, US","Anchorage, ALASKA, US",6,0.564388115
FY17-18,0,"Basel/Mulhouse, CH","Frankfurt, DE",1,0.036353507
FY17-18,0,"Baton Rouge, LOUISIANA, US","Atlanta, GEORGIA, US",5,0.291431392
FY17-18,0,"Beijing, CN","Chicago, ILLINOIS, US",2,2.160147672
FY17-18,0,"Beijing, CN","Dallas, TEXAS, US",2,2.289361985
FY17-18,0,"Beijing, CN","Detroit, MICHIGAN, US",1,1.088622366
FY17-18,0,"Beijing, CN","Guangzhou, CN",4,0.608883444
FY17-18,0,"Beijing, CN","Hangzhou, CN",1,0.09302386
FY17-18,0,"Beijing, CN","Hefei, CN",2,0.145455489
FY17-18,0,"Beijing, CN","Hong Kong, HK",7,1.128385921
FY17-18,0,"Beijing, CN","Nanjing, CN",5,0.383804735
FY17-18,0,"Beijing, CN","New York, NEW YORK, US",4,4.489950778
FY17-18,0,"Beijing, CN","Newark, NEW JERSEY, US",1,1.121501326
FY17-18,0,"Beijing, CN","Shanghai, CN",2,0.177721108
FY17-18,0,"Beijing, CN","Toronto, CA",2,2.159818882
FY17-18,0,"Beijing, CN","Ulaanbaatar, MN",1,0.094194789
FY17-18,0,"Beijing, CN","Washington, DISTRICT OF COLUMBIA, US",25,28.40742144
FY17-18,0,"Beijing, CN","Yangon, MM",1,0.262418356
FY17-18,0,"Beijing, CN","Yanji, CN",2,0.180323174
FY17-18,0,"Beira, MZ","Johannesburg, ZA",1,0.079363013
FY17-18,0,"Beirut, LB","Dubai, AE",1,0.173167492
FY17-18,0,"Beirut, LB","Frankfurt, DE",2,0.459264649
