fiscalyear,school,from_full,to_full,total_trips,total_emissions
FY17-18,462.0,"Dallas, TEXAS, US","Baltimore, MARYLAND, US",2,429.1619073
FY17-18,462.0,"West Palm Beach, FLORIDA, US","Baltimore, MARYLAND, US",1,172.41954066
FY17-18,480.0,"Abidjan, CI","Paris, FR",1,538.486746
FY17-18,480.0,"Addis Ababa, ET","Antananarivo, MG",1,354.86347322
FY17-18,480.0,"Addis Ababa, ET","Washington, DISTRICT OF COLUMBIA, US",1,1270.14942059
FY17-18,480.0,"Amsterdam, NL","Atlanta, GEORGIA, US",2,1552.129668
FY17-18,480.0,"Amsterdam, NL","Johannesburg, ZA",2,1980.93777322
FY17-18,480.0,"Amsterdam, NL","Washington, DISTRICT OF COLUMBIA, US",2,1363.55316628
FY17-18,480.0,"Antananarivo, MG","Addis Ababa, ET",1,354.86347322
FY17-18,480.0,"Antananarivo, MG","Johannesburg, ZA",2,468.7877388
FY17-18,480.0,"Atlanta, GEORGIA, US","Baltimore, MARYLAND, US",12,1345.8086318399999
FY17-18,480.0,"Atlanta, GEORGIA, US","Bogota, CO",5,1860.9988724999998
FY17-18,480.0,"Atlanta, GEORGIA, US","Hayden, COLORADO, US",1,236.5166818
FY17-18,480.0,"Atlanta, GEORGIA, US","Johannesburg, ZA",1,1491.80641557
FY17-18,480.0,"Atlanta, GEORGIA, US","Rio de Janeiro, BR",2,1678.790808
FY17-18,480.0,"Baltimore, MARYLAND, US","Atlanta, GEORGIA, US",11,1233.6579125199999
FY17-18,480.0,"Baltimore, MARYLAND, US","Birmingham, ALABAMA, US",1,132.63041589
FY17-18,480.0,"Baltimore, MARYLAND, US","Boston, MASSACHUSETTS, US",2,143.55292072
FY17-18,480.0,"Baltimore, MARYLAND, US","Charlotte, NORTH CAROLINA, US",1,70.21610253
FY17-18,480.0,"Baltimore, MARYLAND, US","Chicago, ILLINOIS, US",2,237.17439078
FY17-18,480.0,"Baltimore, MARYLAND, US","Cincinnati, OHIO, US",1,83.47914412
FY17-18,480.0,"Baltimore, MARYLAND, US","Columbus, OHIO, US",1,65.3399843
FY17-18,480.0,"Baltimore, MARYLAND, US","Dallas, TEXAS, US",1,214.58095365
FY17-18,480.0,"Baltimore, MARYLAND, US","Denver, COLORADO, US",1,262.87493579
FY17-18,480.0,"Baltimore, MARYLAND, US","Detroit, MICHIGAN, US",3,238.14961442999999
FY17-18,480.0,"Baltimore, MARYLAND, US","London, GB",4,2562.94217348
FY17-18,480.0,"Baltimore, MARYLAND, US","Memphis, TENNESSEE, US",1,153.11011246
FY17-18,480.0,"Baltimore, MARYLAND, US","Miami, FLORIDA, US",4,738.8294344
FY17-18,480.0,"Baltimore, MARYLAND, US","Minneapolis/St Paul, MINNESOTA, US",3,545.9301971699999
FY17-18,480.0,"Baltimore, MARYLAND, US","Nashville, TENNESSEE, US",3,342.30349983
FY17-18,480.0,"Baltimore, MARYLAND, US","Orlando, FLORIDA, US",4,614.00080768
FY17-18,480.0,"Baltimore, MARYLAND, US","Phoenix, ARIZONA, US",1,352.56375978
FY17-18,480.0,"Baltimore, MARYLAND, US","Rochester, NEW YORK, US",1,66.59189931
FY17-18,480.0,"Baltimore, MARYLAND, US","Salt Lake City, UTAH, US",1,328.68212026
FY17-18,480.0,"Baltimore, MARYLAND, US","San Antonio, TEXAS, US",2,496.7381021
FY17-18,480.0,"Baltimore, MARYLAND, US","San Diego, CALIFORNIA, US",2,809.49912934
FY17-18,480.0,"Baltimore, MARYLAND, US","Tampa, FLORIDA, US",2,328.84541352
FY17-18,480.0,"Baltimore, MARYLAND, US","Toronto, CA",5,337.4273816
FY17-18,480.0,"Beijing, CN","Dallas, TEXAS, US",1,1229.63908391
FY17-18,480.0,"Beirut, LB","Brussels, BE",1,344.78011431
FY17-18,480.0,"Beirut, LB","London, GB",2,764.92006888
FY17-18,480.0,"Beirut, LB","Paris, FR",1,350.08714531
FY17-18,480.0,"Birmingham, ALABAMA, US","Baltimore, MARYLAND, US",1,132.63041589
FY17-18,480.0,"Bogota, CO","Atlanta, GEORGIA, US",5,1860.9988724999998
FY17-18,480.0,"Bogota, CO","Fort Lauderdale, FLORIDA, US",2,540.6095584
FY17-18,480.0,"Boston, MASSACHUSETTS, US","Baltimore, MARYLAND, US",4,287.10584144
FY17-18,480.0,"Brussels, BE","Chicago, ILLINOIS, US",1,733.07788286
FY17-18,480.0,"Brussels, BE","Monrovia, LR",1,566.08330723
FY17-18,480.0,"Brussels, BE","Washington, DISTRICT OF COLUMBIA, US",1,686.19910898
FY17-18,480.0,"Charlotte, NORTH CAROLINA, US","Baltimore, MARYLAND, US",1,70.21610253
FY17-18,480.0,"Charlotte, NORTH CAROLINA, US","West Palm Beach, FLORIDA, US",1,115.27143499
FY17-18,480.0,"Chennai, IN","London, GB",1,904.49498433
FY17-18,480.0,"Chicago, ILLINOIS, US","Baltimore, MARYLAND, US",3,357.90707819
FY17-18,480.0,"Chicago, ILLINOIS, US","Beijing, CN",1,1160.11697774
FY17-18,480.0,"Chicago, ILLINOIS, US","San Diego, CALIFORNIA, US",1,303.91597557
FY17-18,480.0,"Cincinnati, OHIO, US","Baltimore, MARYLAND, US",1,83.47914412
FY17-18,480.0,"Columbus, OHIO, US","Baltimore, MARYLAND, US",1,65.3399843
FY17-18,480.0,"Dallas, TEXAS, US","Atlanta, GEORGIA, US",1,142.18760762
FY17-18,480.0,"Dallas, TEXAS, US","Baltimore, MARYLAND, US",1,214.58095365
FY17-18,480.0,"Dallas, TEXAS, US","Hong Kong, HK",1,1433.78287658
FY17-18,480.0,"Dallas, TEXAS, US","Honolulu, HAWAII, US",1,667.80140149
FY17-18,480.0,"Dallas, TEXAS, US","Washington, DISTRICT OF COLUMBIA, US",1,210.33532884
FY17-18,480.0,"Dammam, SA","Dubai, AE",3,207.72263664
FY17-18,480.0,"Denver, COLORADO, US","Baltimore, MARYLAND, US",1,262.87493579
FY17-18,480.0,"Detroit, MICHIGAN, US","Paris, FR",1,698.40528029
FY17-18,480.0,"Detroit, MICHIGAN, US","Washington, DISTRICT OF COLUMBIA, US",2,149.01417314
FY17-18,480.0,"Dubai, AE","Amsterdam, NL",2,1135.35083306
FY17-18,480.0,"Dubai, AE","Dammam, SA",3,207.72263664
FY17-18,480.0,"Dubai, AE","Frankfurt, DE",2,1063.88281552
FY17-18,480.0,"Dubai, AE","New York, NEW YORK, US",1,1208.41095989
FY17-18,480.0,"Dubai, AE","Washington, DISTRICT OF COLUMBIA, US",6,7482.913717380001
FY17-18,480.0,"Fort Lauderdale, FLORIDA, US","Baltimore, MARYLAND, US",2,361.22283858
FY17-18,480.0,"Fort Myers, FLORIDA, US","Baltimore, MARYLAND, US",1,179.44115091
FY17-18,480.0,"Frankfurt, DE","Dubai, AE",2,1063.88281552
FY17-18,480.0,"Frankfurt, DE","Washington, DISTRICT OF COLUMBIA, US",2,1438.91300656
FY17-18,480.0,"Harrisburg, PENNSYLVANIA, US","Chicago, ILLINOIS, US",1,115.46647972
FY17-18,480.0,"Harrisburg, PENNSYLVANIA, US","Washington, DISTRICT OF COLUMBIA, US",1,22.35756908
FY17-18,480.0,"Hayden, COLORADO, US","Minneapolis/St Paul, MINNESOTA, US",1,150.37948625
FY17-18,480.0,"Hong Kong, HK","Dallas, TEXAS, US",1,1433.78287658
FY17-18,480.0,"Hong Kong, HK","Toronto, CA",1,1378.23595206
FY17-18,480.0,"Honolulu, HAWAII, US","Los Angeles, CALIFORNIA, US",1,451.09763545
FY17-18,480.0,"Johannesburg, ZA","Antananarivo, MG",2,468.7877388
FY17-18,480.0,"Johannesburg, ZA","Atlanta, GEORGIA, US",1,1491.80641557
FY17-18,480.0,"Johannesburg, ZA","Lilongwe, MW",1,180.22132983
FY17-18,480.0,"Johannesburg, ZA","London, GB",1,996.83732382
FY17-18,480.0,"Johannesburg, ZA","Maputo, MZ",2,128.85652718
FY17-18,480.0,"Johannesburg, ZA","Nairobi, KE",2,639.67413716
FY17-18,480.0,"Johannesburg, ZA","Washington, DISTRICT OF COLUMBIA, US",2,2876.7646069
FY17-18,480.0,"Kalispell, MONTANA, US","Minneapolis/St Paul, MINNESOTA, US",3,542.37856875
FY17-18,480.0,"Lilongwe, MW","Johannesburg, ZA",1,180.22132983
FY17-18,480.0,"Lima, PE","Miami, FLORIDA, US",3,1389.91142028
FY17-18,480.0,"Lisbon, PT","Philadelphia, PENNSYLVANIA, US",1,609.60096147
FY17-18,480.0,"London, GB","Baltimore, MARYLAND, US",4,2562.94217348
FY17-18,480.0,"London, GB","Beirut, LB",3,1147.38010332
FY17-18,480.0,"London, GB","Delhi, IN",1,739.26941903
FY17-18,480.0,"London, GB","Johannesburg, ZA",1,996.83732382
FY17-18,480.0,"London, GB","Washington, DISTRICT OF COLUMBIA, US",2,1296.33077354
FY17-18,480.0,"Los Angeles, CALIFORNIA, US","Dallas, TEXAS, US",1,217.76517225
FY17-18,480.0,"Maputo, MZ","Johannesburg, ZA",2,128.85652718
FY17-18,480.0,"Memphis, TENNESSEE, US","Baltimore, MARYLAND, US",1,153.11011246
FY17-18,480.0,"Miami, FLORIDA, US","Baltimore, MARYLAND, US",4,738.8294344
FY17-18,480.0,"Miami, FLORIDA, US","Lima, PE",3,1389.91142028
FY17-18,480.0,"Miami, FLORIDA, US","Panama City, PA",1,204.49759474
FY17-18,480.0,"Minneapolis/St Paul, MINNESOTA, US","Baltimore, MARYLAND, US",4,727.90692956
FY17-18,480.0,"Minneapolis/St Paul, MINNESOTA, US","Kalispell, MONTANA, US",3,542.37856875
FY17-18,480.0,"Monrovia, LR","Amsterdam, NL",1,582.88890541
FY17-18,480.0,"Mumbai, IN","Pune, IN",1,18.51110558
FY17-18,480.0,"Nairobi, KE","Antananarivo, MG",2,496.03049796
FY17-18,480.0,"Nashville, TENNESSEE, US","New York, NEW YORK, US",3,446.45738526
FY17-18,480.0,"Ndiass, SN","Brussels, BE",1,490.72346695
FY17-18,480.0,"New York, NEW YORK, US","Baltimore, MARYLAND, US",3,131.98177878
FY17-18,480.0,"Orlando, FLORIDA, US","Baltimore, MARYLAND, US",3,460.50060576
FY17-18,480.0,"Orlando, FLORIDA, US","Raleigh/Durham, NORTH CAROLINA, US",1,104.15388542
FY17-18,480.0,"Panama City, PA","Miami, FLORIDA, US",1,204.49759474
FY17-18,480.0,"Paris, FR","Abidjan, CI",1,538.486746
FY17-18,480.0,"Paris, FR","Amsterdam, NL",1,59.37978025
FY17-18,480.0,"Paris, FR","Beirut, LB",1,350.08714531
FY17-18,480.0,"Paris, FR","Washington, DISTRICT OF COLUMBIA, US",2,1361.43035388
FY17-18,480.0,"Philadelphia, PENNSYLVANIA, US","Lisbon, PT",1,609.60096147
FY17-18,480.0,"Phoenix, ARIZONA, US","Baltimore, MARYLAND, US",1,352.56375978
FY17-18,480.0,"Porto Alegre, BR","Rio de Janeiro, BR",2,271.50226312
FY17-18,480.0,"Pune, IN","Chennai, IN",1,110.59036149
FY17-18,480.0,"Rio de Janeiro, BR","Atlanta, GEORGIA, US",2,1678.790808
FY17-18,480.0,"Rio de Janeiro, BR","Porto Alegre, BR",2,271.50226312
FY17-18,480.0,"Salt Lake City, UTAH, US","Dallas, TEXAS, US",1,192.31410304
FY17-18,480.0,"San Antonio, TEXAS, US","Baltimore, MARYLAND, US",2,496.7381021
FY17-18,480.0,"San Diego, CALIFORNIA, US","Baltimore, MARYLAND, US",2,809.49912934
FY17-18,480.0,"San Diego, CALIFORNIA, US","Washington, DISTRICT OF COLUMBIA, US",1,397.31972126
FY17-18,480.0,"St Louis, MISSOURI, US","Washington, DISTRICT OF COLUMBIA, US",1,135.3610421
FY17-18,480.0,"Tampa, FLORIDA, US","Baltimore, MARYLAND, US",2,328.84541352
FY17-18,480.0,"Toronto, CA","Baltimore, MARYLAND, US",5,337.4273816
FY17-18,480.0,"Toronto, CA","Hong Kong, HK",1,1378.23595206
FY17-18,480.0,"Washington, DISTRICT OF COLUMBIA, US","Abu Dhabi, AE",3,3752.0709207
FY17-18,480.0,"Washington, DISTRICT OF COLUMBIA, US","Addis Ababa, ET",1,1270.14942059
FY17-18,480.0,"Washington, DISTRICT OF COLUMBIA, US","Amsterdam, NL",2,1363.55316628
FY17-18,480.0,"Washington, DISTRICT OF COLUMBIA, US","Brussels, BE",1,686.19910898
FY17-18,480.0,"Washington, DISTRICT OF COLUMBIA, US","Chicago, ILLINOIS, US",1,118.97728484
FY17-18,480.0,"Washington, DISTRICT OF COLUMBIA, US","Detroit, MICHIGAN, US",1,74.50708657
FY17-18,480.0,"Washington, DISTRICT OF COLUMBIA, US","Dubai, AE",7,8730.06600361
FY17-18,480.0,"Washington, DISTRICT OF COLUMBIA, US","Frankfurt, DE",2,1438.91300656
FY17-18,480.0,"Washington, DISTRICT OF COLUMBIA, US","Harrisburg, PENNSYLVANIA, US",1,22.35756908
FY17-18,480.0,"Washington, DISTRICT OF COLUMBIA, US","London, GB",3,1944.49616031
FY17-18,480.0,"Washington, DISTRICT OF COLUMBIA, US","Paris, FR",1,680.71517694
FY17-18,480.0,"Washington, DISTRICT OF COLUMBIA, US","St Louis, MISSOURI, US",1,135.3610421
FY17-18,480.0,"Washington, DISTRICT OF COLUMBIA, US","Zurich, CH",2,1465.80196364
FY17-18,480.0,"West Palm Beach, FLORIDA, US","Charlotte, NORTH CAROLINA, US",1,115.27143499
FY17-18,480.0,"Zurich, CH","Dubai, AE",2,1047.25411836
FY17-18,520.0,"Abu Dhabi, AE","Beijing, CN",4,2616.01248352
FY17-18,520.0,"Abu Dhabi, AE","Dammam, SA",11,714.44884324
FY17-18,520.0,"Abu Dhabi, AE","London, GB",4,2423.54415904
FY17-18,520.0,"Abu Dhabi, AE","Washington, DISTRICT OF COLUMBIA, US",6,7504.1418414
FY17-18,520.0,"Amsterdam, NL","Dubai, AE",1,567.67541653
FY17-18,520.0,"Amsterdam, NL","Johannesburg, ZA",2,1980.93777322
FY17-18,520.0,"Amsterdam, NL","Washington, DISTRICT OF COLUMBIA, US",2,1363.55316628
FY17-18,520.0,"Athens, GR","Philadelphia, PENNSYLVANIA, US",2,1775.73257436
FY17-18,520.0,"Atlanta, GEORGIA, US","Baltimore, MARYLAND, US",16,1794.41150912
FY17-18,520.0,"Atlanta, GEORGIA, US","Bermuda, BM",4,810.20673348
FY17-18,520.0,"Atlanta, GEORGIA, US","Lima, PE",10,5639.6049482
FY17-18,520.0,"Atlanta, GEORGIA, US","Nassau, BS",3,424.80742032
FY17-18,520.0,"Atlanta, GEORGIA, US","Panama City, PA",2,610.66236766
FY17-18,520.0,"Atlanta, GEORGIA, US","Rio de Janeiro, BR",1,839.395404
FY17-18,520.0,"Atlanta, GEORGIA, US","Santo Domingo, DO",1,245.71553554
FY17-18,520.0,"Atlanta, GEORGIA, US","Sao Paulo, BR",1,824.88951925
FY17-18,520.0,"Bahrain, BH","Dammam, SA",2,16.34746986
FY17-18,520.0,"Baltimore, MARYLAND, US","Atlanta, GEORGIA, US",22,2467.3158250399997
FY17-18,520.0,"Baltimore, MARYLAND, US","Chicago, ILLINOIS, US",1,120.73268741
FY17-18,520.0,"Baltimore, MARYLAND, US","Dallas, TEXAS, US",1,214.58095365
FY17-18,520.0,"Baltimore, MARYLAND, US","Houston, TEXAS, US",4,872.47589728
FY17-18,520.0,"Baltimore, MARYLAND, US","Indianapolis, INDIANA, US",1,100.25299084
FY17-18,520.0,"Baltimore, MARYLAND, US","Miami, FLORIDA, US",7,1292.9515102
FY17-18,520.0,"Baltimore, MARYLAND, US","New York, NEW YORK, US",3,131.98177878
FY17-18,520.0,"Baltimore, MARYLAND, US","Newark, NEW JERSEY, US",3,121.16360019
FY17-18,520.0,"Baltimore, MARYLAND, US","San Diego, CALIFORNIA, US",1,404.74956467
FY17-18,520.0,"Beijing, CN","Abu Dhabi, AE",1,654.00312088
FY17-18,520.0,"Beijing, CN","Chicago, ILLINOIS, US",3,3480.35093322
FY17-18,520.0,"Beijing, CN","Nanjing, CN",8,919.05076424
FY17-18,520.0,"Beijing, CN","Shenzhen, CN",1,214.93475571
FY17-18,520.0,"Beijing, CN","Singapore, SG",2,986.04636078
FY17-18,520.0,"Beijing, CN","Washington, DISTRICT OF COLUMBIA, US",4,4882.4685248
FY17-18,520.0,"Beirut, LB","Dubai, AE",2,470.20294706
FY17-18,520.0,"Beirut, LB","Frankfurt, DE",2,623.39924208
FY17-18,520.0,"Beirut, LB","London, GB",1,382.46003444
FY17-18,520.0,"Beirut, LB","Paris, FR",2,700.17429062
FY17-18,520.0,"Bermuda, BM","Atlanta, GEORGIA, US",2,405.10336674
FY17-18,520.0,"Bermuda, BM","Boston, MASSACHUSETTS, US",2,301.14906196
FY17-18,520.0,"Bermuda, BM","Miami, FLORIDA, US",1,184.68467898
FY17-18,520.0,"Bermuda, BM","New York, NEW YORK, US",2,296.85807792
FY17-18,520.0,"Bermuda, BM","Philadelphia, PENNSYLVANIA, US",2,305.440046
FY17-18,520.0,"Bogota, CO","Atlanta, GEORGIA, US",6,2233.198647
FY17-18,520.0,"Bogota, CO","Miami, FLORIDA, US",2,534.59492326
FY17-18,520.0,"Bogota, CO","Washington, DISTRICT OF COLUMBIA, US",1,419.78615251
FY17-18,520.0,"Boston, MASSACHUSETTS, US","Baltimore, MARYLAND, US",2,143.55292072
FY17-18,520.0,"Chicago, ILLINOIS, US","Baltimore, MARYLAND, US",3,362.19806223
FY17-18,520.0,"Chicago, ILLINOIS, US","Hong Kong, HK",1,1375.40553552
FY17-18,520.0,"Chicago, ILLINOIS, US","Washington, DISTRICT OF COLUMBIA, US",1,114.49125607
FY17-18,520.0,"Dallas, TEXAS, US","Dubai, AE",1,1419.1000908
FY17-18,520.0,"Dallas, TEXAS, US","Miami, FLORIDA, US",1,197.9522565
FY17-18,520.0,"Dallas, TEXAS, US","Washington, DISTRICT OF COLUMBIA, US",1,210.33532884
FY17-18,520.0,"Dammam, SA","Abu Dhabi, AE",10,649.4989484
FY17-18,520.0,"Dammam, SA","Dubai, AE",4,276.96351552
FY17-18,520.0,"Dammam, SA","Frankfurt, DE",2,959.15740368
FY17-18,520.0,"Dubai, AE","Amsterdam, NL",1,567.67541653
FY17-18,520.0,"Dubai, AE","Beirut, LB",2,470.20294706
FY17-18,520.0,"Dubai, AE","Dallas, TEXAS, US",1,1419.1000908
FY17-18,520.0,"Dubai, AE","Dammam, SA",3,207.72263664
FY17-18,520.0,"Dubai, AE","Frankfurt, DE",1,531.94140776
FY17-18,520.0,"Dubai, AE","Istanbul, TR",1,332.57394299
FY17-18,520.0,"Dubai, AE","London, GB",1,603.76322736
FY17-18,520.0,"Dubai, AE","Riyadh, SA",4,422.856973
FY17-18,520.0,"Dubai, AE","Singapore, SG",2,1283.9477012
FY17-18,520.0,"Dubai, AE","Washington, DISTRICT OF COLUMBIA, US",13,16212.97972099
FY17-18,520.0,"Dubai, AE","Zurich, CH",1,523.62705918
FY17-18,520.0,"Frankfurt, DE","Beirut, LB",1,311.69962104
FY17-18,520.0,"Frankfurt, DE","Dammam, SA",2,959.15740368
FY17-18,520.0,"Frankfurt, DE","Dubai, AE",3,1595.8242232799998
FY17-18,520.0,"Frankfurt, DE","Philadelphia, PENNSYLVANIA, US",1,696.28246789
FY17-18,520.0,"Frankfurt, DE","Washington, DISTRICT OF COLUMBIA, US",4,2877.82601312
FY17-18,520.0,"Houston, TEXAS, US","Frankfurt, DE",2,1845.78538362
FY17-18,520.0,"Houston, TEXAS, US","Mexico City, MX",4,596.0566926
FY17-18,520.0,"Indianapolis, INDIANA, US","Baltimore, MARYLAND, US",1,100.25299084
FY17-18,520.0,"Istanbul, TR","Dubai, AE",3,997.7218289699999
FY17-18,520.0,"Istanbul, TR","Washington, DISTRICT OF COLUMBIA, US",3,2763.90174753
FY17-18,520.0,"Jeddah, SA","Dubai, AE",3,559.36106796
FY17-18,520.0,"Johannesburg, ZA","Amsterdam, NL",1,990.46888661
FY17-18,520.0,"Lima, PE","Atlanta, GEORGIA, US",4,2255.84197928
FY17-18,520.0,"Lima, PE","Bogota, CO",1,207.32801127
FY17-18,520.0,"Lima, PE","Cartagena, CO",6,1649.42523642
FY17-18,520.0,"London, GB","Abu Dhabi, AE",1,605.88603976
FY17-18,520.0,"London, GB","Bahrain, BH",2,1118.7221359
FY17-18,520.0,"London, GB","Baltimore, MARYLAND, US",2,1281.47108674
FY17-18,520.0,"London, GB","Beirut, LB",3,1147.38010332
FY17-18,520.0,"London, GB","Dallas, TEXAS, US",1,837.62639366
FY17-18,520.0,"London, GB","Dubai, AE",1,603.76322736
FY17-18,520.0,"London, GB","Philadelphia, PENNSYLVANIA, US",1,624.81445035
FY17-18,520.0,"London, GB","Washington, DISTRICT OF COLUMBIA, US",4,2592.66154708
FY17-18,520.0,"Manzanillo, MX","Mexico City, MX",4,279.30405228
FY17-18,520.0,"Mexico City, MX","Manzanillo, MX",4,279.30405228
FY17-18,520.0,"Mexico City, MX","New York, NEW YORK, US",4,1478.185036
FY17-18,520.0,"Miami, FLORIDA, US","Baltimore, MARYLAND, US",10,1847.073586
FY17-18,520.0,"Miami, FLORIDA, US","Bogota, CO",1,267.29746163
FY17-18,520.0,"Miami, FLORIDA, US","Dallas, TEXAS, US",1,197.9522565
FY17-18,520.0,"Miami, FLORIDA, US","Lima, PE",1,463.30380676
FY17-18,520.0,"Miami, FLORIDA, US","Panama City, PA",4,817.99037896
FY17-18,520.0,"Miami, FLORIDA, US","Sao Paulo, BR",1,721.93311775
FY17-18,520.0,"Miami, FLORIDA, US","Tampa, FLORIDA, US",1,49.0424096
FY17-18,520.0,"Miami, FLORIDA, US","Washington, DISTRICT OF COLUMBIA, US",1,179.63619564
FY17-18,520.0,"Nanjing, CN","Beijing, CN",4,459.52538212
FY17-18,520.0,"Nassau, BS","Atlanta, GEORGIA, US",1,141.60247344
FY17-18,520.0,"Nassau, BS","Miami, FLORIDA, US",6,263.96355756
FY17-18,520.0,"New York, NEW YORK, US","Abu Dhabi, AE",1,1211.5951785
FY17-18,520.0,"New York, NEW YORK, US","Baltimore, MARYLAND, US",5,219.9696313
FY17-18,520.0,"New York, NEW YORK, US","Bermuda, BM",3,445.28711688000004
FY17-18,520.0,"Newark, NEW JERSEY, US","Athens, GR",2,1747.78221106
FY17-18,520.0,"Newark, NEW JERSEY, US","Hong Kong, HK",3,4270.56784992
FY17-18,520.0,"Panama City, PA","Miami, FLORIDA, US",6,1226.98556844
FY17-18,520.0,"Paris, FR","Beirut, LB",2,700.17429062
FY17-18,520.0,"Paris, FR","Washington, DISTRICT OF COLUMBIA, US",2,1361.43035388
FY17-18,520.0,"Philadelphia, PENNSYLVANIA, US","Bermuda, BM",2,305.440046
FY17-18,520.0,"Philadelphia, PENNSYLVANIA, US","Frankfurt, DE",1,696.28246789
FY17-18,520.0,"Philadelphia, PENNSYLVANIA, US","London, GB",1,624.81445035
FY17-18,520.0,"Philadelphia, PENNSYLVANIA, US","Tampa, FLORIDA, US",1,179.44115091
FY17-18,520.0,"Porto Alegre, BR","Rio de Janeiro, BR",1,135.75113156
FY17-18,520.0,"Porto Alegre, BR","Sao Paulo, BR",1,104.73901961
FY17-18,520.0,"Rio de Janeiro, BR","Atlanta, GEORGIA, US",1,839.395404
FY17-18,520.0,"Rio de Janeiro, BR","Porto Alegre, BR",1,135.75113156
FY17-18,520.0,"Rio de Janeiro, BR","Sao Paulo, BR",2,109.14340176
FY17-18,520.0,"Riyadh, SA","Abu Dhabi, AE",1,97.52236463
FY17-18,520.0,"Riyadh, SA","Dubai, AE",1,105.71424325
FY17-18,520.0,"Riyadh, SA","Jeddah, SA",3,308.95085115
FY17-18,520.0,"San Diego, CALIFORNIA, US","Baltimore, MARYLAND, US",1,404.74956467
FY17-18,520.0,"San Francisco, CALIFORNIA, US","Washington, DISTRICT OF COLUMBIA, US",3,1280.0558784599998
FY17-18,520.0,"San Salvador, SV","Lima, PE",1,342.83420294
FY17-18,520.0,"Santo Domingo, DO","Atlanta, GEORGIA, US",1,245.71553554
FY17-18,520.0,"Sao Paulo, BR","Atlanta, GEORGIA, US",1,824.88951925
FY17-18,520.0,"Sao Paulo, BR","Miami, FLORIDA, US",1,721.93311775
FY17-18,520.0,"Sao Paulo, BR","Porto Alegre, BR",1,104.73901961
FY17-18,520.0,"Sao Paulo, BR","Rio de Janeiro, BR",2,101.9312827
FY17-18,520.0,"Sao Paulo, BR","Washington, DISTRICT OF COLUMBIA, US",2,1680.20601626
FY17-18,520.0,"Seoul, KR","Singapore, SG",1,508.05976823
FY17-18,520.0,"Seoul, KR","Washington, DISTRICT OF COLUMBIA, US",1,1227.16246944
FY17-18,520.0,"Shanghai, CN","Chicago, ILLINOIS, US",1,1244.8525728
FY17-18,520.0,"Shanghai, CN","Newark, NEW JERSEY, US",2,2605.3984215
FY17-18,520.0,"Shanghai, CN","San Francisco, CALIFORNIA, US",1,1084.75713747
FY17-18,520.0,"Shanghai, CN","Tokyo, JP",2,394.13550266
FY17-18,520.0,"Singapore, SG","Dubai, AE",2,1283.9477012
FY17-18,520.0,"Singapore, SG","San Francisco, CALIFORNIA, US",3,4474.88854362
FY17-18,520.0,"Singapore, SG","Seoul, KR",1,508.05976823
FY17-18,520.0,"Singapore, SG","Tokyo, JP",3,1765.11851235
FY17-18,520.0,"Sofia, BG","London, GB",1,224.13360945
FY17-18,520.0,"St Thomas Island, VI","Washington, DISTRICT OF COLUMBIA, US",1,284.27996085
FY17-18,520.0,"Tampa, FLORIDA, US","Philadelphia, PENNSYLVANIA, US",1,179.44115091
FY17-18,520.0,"Tokyo, JP","Guangzhou, CN",2,646.7501785
FY17-18,520.0,"Tokyo, JP","Newark, NEW JERSEY, US",1,1187.35973691
FY17-18,520.0,"Tokyo, JP","Shanghai, CN",1,197.06775133
FY17-18,520.0,"Tokyo, JP","Singapore, SG",4,2353.4913498
FY17-18,520.0,"Tokyo, JP","Washington, DISTRICT OF COLUMBIA, US",7,8337.52261027
FY17-18,520.0,"Toronto, CA","Philadelphia, PENNSYLVANIA, US",1,67.48547632
FY17-18,520.0,"Toronto, CA","Washington, DISTRICT OF COLUMBIA, US",2,140.0421156
FY17-18,520.0,"Washington, DISTRICT OF COLUMBIA, US","Abu Dhabi, AE",6,7504.1418414
FY17-18,520.0,"Washington, DISTRICT OF COLUMBIA, US","Amsterdam, NL",2,1363.55316628
FY17-18,520.0,"Washington, DISTRICT OF COLUMBIA, US","Beijing, CN",5,6103.085655999999
FY17-18,520.0,"Washington, DISTRICT OF COLUMBIA, US","Dubai, AE",8,9977.21828984
FY17-18,520.0,"Washington, DISTRICT OF COLUMBIA, US","Frankfurt, DE",4,2877.82601312
FY17-18,520.0,"Washington, DISTRICT OF COLUMBIA, US","Istanbul, TR",5,4606.5029125500005
FY17-18,520.0,"Washington, DISTRICT OF COLUMBIA, US","London, GB",7,4537.157707390001
FY17-18,520.0,"Washington, DISTRICT OF COLUMBIA, US","Paris, FR",2,1361.43035388
FY17-18,520.0,"Washington, DISTRICT OF COLUMBIA, US","San Salvador, SV",1,335.58126056
FY17-18,520.0,"Washington, DISTRICT OF COLUMBIA, US","Sao Paulo, BR",2,1680.20601626
FY17-18,520.0,"Washington, DISTRICT OF COLUMBIA, US","Seoul, KR",1,1227.16246944
FY17-18,520.0,"Washington, DISTRICT OF COLUMBIA, US","St Thomas Island, VI",1,284.27996085
FY17-18,520.0,"Washington, DISTRICT OF COLUMBIA, US","Tokyo, JP",7,8337.52261027
FY17-18,520.0,"Washington, DISTRICT OF COLUMBIA, US","Zurich, CH",1,732.90098182
FY17-18,520.0,"Zurich, CH","Dubai, AE",1,523.62705918
FY17-18,520.0,"Zurich, CH","Washington, DISTRICT OF COLUMBIA, US",1,732.90098182
